  T_e     LFI_1     LFI_2     LFI_3     HFI_1      HFI_2     HFI_3     HFI_4    HFI_5    HFI_6 
  0.0  -121.989  -293.162  -637.885  -981.604  -1034.740    93.466  1784.350  838.664   59.704 
  0.1  -122.012  -293.204  -637.906  -975.464  -1034.540    94.112  1782.330  841.034   60.443 
  0.2  -121.967  -293.083  -637.574  -974.825  -1033.790    92.964  1779.640  842.726   61.145 
  0.3  -121.922  -292.962  -637.243  -974.187  -1033.050    91.819  1776.960  844.405   61.851 
  0.4  -121.877  -292.842  -636.912  -973.550  -1032.300    90.678  1774.280  846.069   62.561 
  0.5  -121.833  -292.721  -636.582  -972.914  -1031.560    89.540  1771.620  847.721   63.276 
  0.6  -121.788  -292.601  -636.252  -972.279  -1030.820    88.407  1768.950  849.359   63.995 
  0.7  -121.743  -292.480  -635.922  -971.645  -1030.090    87.276  1766.300  850.983   64.719 
  0.8  -121.699  -292.360  -635.592  -971.011  -1029.350    86.150  1763.650  852.594   65.446 
  0.9  -121.654  -292.240  -635.263  -970.379  -1028.620    85.027  1761.010  854.193   66.177 
  1.0  -121.610  -292.120  -634.934  -969.747  -1027.890    83.908  1758.380  855.778   66.913 
  1.1  -121.565  -292.000  -634.605  -969.117  -1027.160    82.792  1755.750  857.350   67.652 
  1.2  -121.521  -291.880  -634.276  -968.487  -1026.430    81.680  1753.130  858.909   68.395 
  1.3  -121.476  -291.760  -633.948  -967.859  -1025.710    80.572  1750.510  860.456   69.142 
  1.4  -121.432  -291.640  -633.620  -967.231  -1024.980    79.467  1747.900  861.990   69.893 
  1.5  -121.387  -291.521  -633.293  -966.604  -1024.260    78.366  1745.300  863.511   70.648 
  1.6  -121.343  -291.401  -632.965  -965.978  -1023.540    77.268  1742.700  865.020   71.406 
  1.7  -121.299  -291.282  -632.638  -965.353  -1022.830    76.174  1740.110  866.516   72.168 
  1.8  -121.254  -291.162  -632.312  -964.729  -1022.110    75.083  1737.530  868.000   72.933 
  1.9  -121.210  -291.043  -631.985  -964.106  -1021.400    73.996  1734.950  869.472   73.702 
  2.0  -121.166  -290.924  -631.659  -963.484  -1020.680    72.912  1732.380  870.931   74.474 
  2.1  -121.122  -290.804  -631.333  -962.863  -1019.970    71.832  1729.820  872.379   75.250 
  2.2  -121.078  -290.685  -631.008  -962.243  -1019.270    70.756  1727.260  873.814   76.029 
  2.3  -121.033  -290.566  -630.682  -961.623  -1018.560    69.682  1724.700  875.237   76.811 
  2.4  -120.989  -290.447  -630.357  -961.005  -1017.850    68.613  1722.160  876.649   77.596 
  2.5  -120.945  -290.328  -630.033  -960.387  -1017.150    67.546  1719.620  878.049   78.385 
  2.6  -120.901  -290.210  -629.708  -959.771  -1016.450    66.484  1717.080  879.437   79.177 
  2.7  -120.857  -290.091  -629.384  -959.155  -1015.750    65.424  1714.560  880.813   79.971 
  2.8  -120.813  -289.972  -629.060  -958.540  -1015.050    64.368  1712.030  882.178   80.769 
  2.9  -120.769  -289.854  -628.737  -957.926  -1014.360    63.316  1709.520  883.531   81.570 
  3.0  -120.725  -289.735  -628.413  -957.313  -1013.660    62.266  1707.010  884.873   82.373 
  3.1  -120.681  -289.617  -628.091  -956.701  -1012.970    61.220  1704.500  886.203   83.179 
  3.2  -120.637  -289.499  -627.768  -956.090  -1012.280    60.178  1702.010  887.523   83.989 
  3.3  -120.593  -289.380  -627.445  -955.480  -1011.590    59.139  1699.510  888.831   84.800 
  3.4  -120.550  -289.262  -627.123  -954.870  -1010.910    58.103  1697.030  890.128   85.615 
  3.5  -120.506  -289.144  -626.802  -954.262  -1010.220    57.071  1694.550  891.414   86.432 
  3.6  -120.462  -289.026  -626.480  -953.654  -1009.540    56.042  1692.070  892.689   87.252 
  3.7  -120.418  -288.908  -626.159  -953.048  -1008.860    55.016  1689.600  893.953   88.074 
  3.8  -120.375  -288.790  -625.838  -952.442  -1008.180    53.993  1687.140  895.207   88.898 
  3.9  -120.331  -288.673  -625.517  -951.837  -1007.500    52.974  1684.680  896.449   89.726 
  4.0  -120.287  -288.555  -625.197  -951.233  -1006.820    51.958  1682.230  897.681   90.555 
  4.1  -120.244  -288.437  -624.877  -950.630  -1006.150    50.945  1679.790  898.903   91.387 
  4.2  -120.200  -288.320  -624.557  -950.028  -1005.470    49.936  1677.350  900.113   92.221 
  4.3  -120.156  -288.202  -624.238  -949.426  -1004.800    48.930  1674.910  901.314   93.057 
  4.4  -120.113  -288.085  -623.919  -948.826  -1004.130    47.927  1672.480  902.504   93.896 
  4.5  -120.069  -287.968  -623.600  -948.226  -1003.460    46.927  1670.060  903.683   94.736 
  4.6  -120.026  -287.850  -623.281  -947.628  -1002.800    45.930  1667.640  904.853   95.579 
  4.7  -119.982  -287.733  -622.963  -947.030  -1002.130    44.937  1665.230  906.012   96.424 
  4.8  -119.939  -287.616  -622.645  -946.433  -1001.470    43.947  1662.820  907.161   97.271 
  4.9  -119.896  -287.499  -622.327  -945.837  -1000.810    42.960  1660.420  908.300   98.119 
  5.0  -119.852  -287.382  -622.009  -945.242  -1000.150    41.976  1658.030  909.429   98.970 
  5.1  -119.809  -287.265  -621.692  -944.648   -999.487    40.995  1655.640  910.549   99.822 
  5.2  -119.766  -287.149  -621.375  -944.054   -998.830    40.018  1653.250  911.658  100.677 
  5.3  -119.722  -287.032  -621.059  -943.462   -998.174    39.043  1650.880  912.758  101.533 
  5.4  -119.679  -286.915  -620.742  -942.870   -997.520    38.072  1648.500  913.847  102.390 
  5.5  -119.636  -286.799  -620.426  -942.279   -996.868    37.104  1646.130  914.928  103.250 
  5.6  -119.593  -286.683  -620.111  -941.689   -996.217    36.138  1643.770  915.998  104.111 
  5.7  -119.549  -286.566  -619.795  -941.100   -995.568    35.176  1641.410  917.059  104.974 
  5.8  -119.506  -286.450  -619.480  -940.512   -994.920    34.217  1639.060  918.111  105.838 
  5.9  -119.463  -286.334  -619.165  -939.925   -994.274    33.261  1636.720  919.153  106.704 
  6.0  -119.420  -286.218  -618.851  -939.338   -993.629    32.308  1634.370  920.186  107.571 
  6.1  -119.377  -286.102  -618.536  -938.753   -992.986    31.358  1632.040  921.210  108.440 
